Symbol,Name
KLGYO.IS,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KLRHO.IS,KİLER HOLDİNG A.Ş.
KMPUR.IS,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.
KLMSN.IS,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.
KCAER.IS,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.
KCHOL.IS,KOÇ HOLDİNG A.Ş.
KLSYN.IS,KOLEKSİYON MOBİLYA SANAYİ A.Ş.
KNFRT.IS,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.
KONTR.IS,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.
KONYA.IS,KONYA ÇİMENTO SANAYİİ A.Ş.
KONKA.IS,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.
KGYO.IS,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KORDS.IS,KORDSA TEKNİK TEKSTİL A.Ş.
KRPLS.IS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş.
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.
KOPOL.IS,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.
KRGYO.IS,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KRSTL.IS,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.
KRONT.IS,KRON TEKNOLOJİ A.Ş.
KSTUR.IS,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.
KUVVA.IS,KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.
KUYAS.IS,KUYAŞ YATIRIM A.Ş.
KBORU.IS,KUZEY BORU A.Ş.
KZGYO.IS,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KUTPO.IS,KÜTAHYA PORSELEN SANAYİ A.Ş.
KTSKR.IS,KÜTAHYA ŞEKER FABRİKASI A.Ş.
LIDER.IS,LDR TURİZM A.Ş.
LIDFA.IS,LİDER FAKTORİNG A.Ş.
LINK.IS,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.
LOGO.IS,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.
LKMNH.IS,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.
LRSHO.IS,LORAS HOLDİNG A.Ş.
LUKSK.IS,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.
MACKO.IS,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.
