,Code,Name
275,HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.
276,HDFFL.IS,HEDEF ARAÇ KİRALAMA VE SERVİS A.Ş.
277,HDFGS.IS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
278,HEDEF.IS,HEDEF HOLDİNG A.Ş.
279,HEKTS.IS,HEKTAŞ TİCARET T.A.Ş.
280,HKTM.IS,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.
281,HTTBT.IS,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.
282,HUBVC.IS,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
283,HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
284,HUZFA.IS,HUZUR FAKTORİNG A.Ş.
285,HURGZ.IS,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.
286,"ICB, ICBCT.IS",ICBC TURKEY BANK A.Ş.
287,ICUGS.IS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
288,INGRM.IS,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.
289,INVEO.IS,INVEO YATIRIM HOLDİNG A.Ş.
290,"IAZ, INVAZ.IS",INVEST AZ YATIRIM MENKUL DEĞERLER A.Ş.
291,INVES.IS,INVESTCO HOLDİNG A.Ş.
292,ISKPL.IS,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.
293,IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.
294,IDEAS.IS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.
295,IDGYO.IS,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
296,IHEVA.IS,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.
297,IHLGM.IS,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.
298,IHGZT.IS,İHLAS GAZETECİLİK A.Ş.
299,IHAAS.IS,İHLAS HABER AJANSI A.Ş.
300,IHLAS.IS,İHLAS HOLDİNG A.Ş.
301,IHYAY.IS,İHLAS YAYIN HOLDİNG A.Ş.
302,IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.
303,INALR.IS,İNALLAR OTOMOTİV SANAYİ VE TİCARET A.Ş.
304,INDES.IS,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.
305,"INFO, IYF.IS",İNFO YATIRIM MENKUL DEĞERLER A.Ş.
306,INTEM.IS,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.
307,IPEKE.IS,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.
308,ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.
309,ISFAK.IS,İŞ FAKTORİNG A.Ş.
310,ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.
311,ISGYO.IS,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
312,ISGSY.IS,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
313,"ISMEN, IYM.IS",İŞ YATIRIM MENKUL DEĞERLER A.Ş.
314,ISYAT.IS,İŞ YATIRIM ORTAKLIĞI A.Ş.
315,ISBIR.IS,İŞBİR HOLDİNG A.Ş.
316,ISSEN.IS,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.
