Symbol,Name,Market_id
GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,1
GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,1
GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,1
GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,1
GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,1
GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,1
GLBMD.IS,GLOBAL MENKUL DEĞERLER A.Ş.,1
GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.,1
GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.,1
GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,1
GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,1
GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,1
GRTHO.IS,GRAINTURK TARIM A.Ş.,1
GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,1
GSDHO.IS,GSD HOLDİNG A.Ş.,1
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.,1
GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.,1
GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,1
SAHOL.IS,HACI ÖMER SABANCI HOLDİNG A.Ş.,1
HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
HATSN.IS,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.,1
HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,1
HDFGS.IS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,1
HEDEF.IS,HEDEF HOLDİNG A.Ş.,1
HEKTS.IS,HEKTAŞ TİCARET T.A.Ş.,1
HKTM.IS,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,1
HTTBT.IS,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,1
HUBVC.IS,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,1
HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,1
HURGZ.IS,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,1
ICBCT.IS,ICBC TURKEY BANK A.Ş.,1
ICUGS.IS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,1
INGRM.IS,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,1
INVEO.IS,INVEO YATIRIM HOLDİNG A.Ş.,1
INVES.IS,INVESTCO HOLDİNG A.Ş.,1
ISKPL.IS,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,1
IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,1
SKYLP.IS,Skyalp Finansal Teknolojiler ve Danismanlik A.S.,1
IDGYO.IS,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
IHEVA.IS,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,1
IHLGM.IS,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,1
IHGZT.IS,İHLAS GAZETECİLİK A.Ş.,1
IHAAS.IS,İHLAS HABER AJANSI A.Ş.,1
IHLAS.IS,İHLAS HOLDİNG A.Ş.,1
IHYAY.IS,İHLAS YAYIN HOLDİNG A.Ş.,1
IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.,1
INDES.IS,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,1
INFO.IS,İNFO YATIRIM MENKUL DEĞERLER A.Ş.,1
INTEM.IS,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,1
IPEKE.IS,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,1
ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.,1
ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.,1
ISGYO.IS,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
